role,target,analog,analog,analog,analog,analog,analog,analog,analog,analog,analog,analog,analog,analog,analog,analog
CHR:bone marrow,GenRA Pos Act=1 (0.365) AUC=0.888888888888889 p=0.01,no_effect,80mg/kg/day,6mg/kg/day,no_effect,no_effect,no_effect,no_data,no_effect,no_data,no_data,22.5mg/kg/day,no_data,no_data,no_data,no_effect
CHR:brain,GenRA Neg Act=0 (0.114) AUC=0.13636363636363635 p=0.955,no_effect,no_effect,no_effect,no_effect,no_effect,no_effect,no_data,no_effect,no_effect,no_effect,no_effect,200mg/kg/day,no_data,no_effect,2mg/kg/day
CHR:calcium,GenRA Pos Act=1 (1) AUC=0 p=1,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,93.1mg/kg/day
CHR:cholesterol,GenRA Pos Act=1 (1) AUC=0 p=1,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,93.1mg/kg/day
CHR:clinical signs,GenRA Neg Act=0 (0.324) AUC=0.4 p=0.645,no_effect,no_effect,3.06mg/m^3,no_effect,6.5mg/kg/day,no_effect,no_data,no_effect,no_effect,no_effect,117mg/kg/day,100mg/kg/day,no_data,no_effect,8mg/kg/day
CHR:clitoral gland,GenRA Neg Act=0 (0) AUC=0 p=1,no_data,no_effect,no_effect,no_data,no_data,no_data,no_data,no_data,no_effect,no_effect,no_data,no_effect,no_data,no_effect,no_data
CHR:ear,GenRA Neg Act=0 (0) AUC=0 p=1,no_effect,no_data,no_effect,no_effect,no_effect,no_effect,no_data,no_effect,no_data,no_data,no_effect,no_data,no_data,no_data,no_effect
CHR:epididymis,GenRA Neg Act=0 (0) AUC=0 p=1,no_effect,no_effect,no_effect,no_effect,no_effect,no_effect,no_data,no_effect,no_effect,no_effect,no_effect,no_effect,no_data,no_effect,no_effect
CHR:erythrocyte (rbc) count differential,GenRA Neg Act=0 (0.308) AUC=0 p=0.925,no_effect,no_data,no_effect,no_data,7.3mg/kg/day,no_data,no_data,no_data,no_data,no_data,1671mg/kg/day,no_data,no_data,no_data,no_effect
CHR:esophagus,GenRA Neg Act=0 (0) AUC=0 p=1,no_effect,no_effect,no_effect,no_effect,no_effect,no_effect,no_data,no_effect,no_effect,no_effect,no_effect,no_effect,no_data,no_effect,no_effect
CHR:estrous cycle,GenRA Pos Act=1 (1) AUC=0 p=1,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,2mg/kg/day
CHR:eye,GenRA Neg Act=0 (0.115) AUC=0.13636363636363635 p=0.895,no_effect,no_effect,no_effect,no_effect,no_effect,no_effect,no_data,no_effect,no_effect,no_effect,no_effect,200mg/kg/day,no_data,100mg/kg/day,no_effect
CHR:food consumption,GenRA Neg Act=0 (0.345) AUC=0 p=0.99,no_effect,no_data,16.1mg/kg/day,5000mg/kg/day,no_effect,no_effect,no_data,no_effect,no_data,no_data,no_effect,no_data,no_data,no_data,8mg/kg/day
CHR:full gross necropsy,GenRA Neg Act=0 (0.128) AUC=0 p=0.995,no_effect,no_effect,no_effect,no_effect,97mg/kg/day,no_effect,no_data,no_effect,no_effect,260mg/kg/day,no_effect,no_effect,no_data,no_effect,no_effect
CHR:gallbladder,GenRA Neg Act=0 (0) AUC=0 p=1,no_data,no_effect,no_effect,no_data,no_data,no_data,no_data,no_data,no_effect,no_effect,no_data,no_effect,no_data,no_effect,no_data
CHR:globulins,GenRA Pos Act=1 (1) AUC=0 p=1,no_data,no_data,no_data,no_data,0.73mg/kg/day,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
CHR:glucose,GenRA Neg Act=0 (0) AUC=0 p=1,no_effect,no_data,no_effect,no_effect,no_effect,no_effect,no_data,no_effect,no_data,no_data,no_effect,no_data,no_data,no_data,no_effect
CHR:glutamate dehydrogenase,GenRA Pos Act=1 (1) AUC=0 p=1,no_data,no_data,6mg/kg/day,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
CHR:harderian gland,GenRA Neg Act=0 (0) AUC=0 p=1,no_data,no_effect,no_effect,no_data,no_data,no_data,no_data,no_data,no_effect,no_effect,no_data,no_effect,no_data,no_effect,no_data
CHR:heart,GenRA Neg Act=0 (0.055) AUC=0 p=0.91,no_effect,no_effect,no_effect,no_effect,no_effect,no_effect,no_data,no_effect,no_effect,no_effect,no_effect,no_effect,no_data,no_effect,35mg/kg/day
CHR:hematocrit (hct),GenRA Pos Act=1 (1) AUC=0 p=1,no_data,no_data,no_data,no_data,7.3mg/kg/day,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
CHR:hemoglobin (hgb),GenRA Pos Act=1 (1) AUC=0 p=1,no_data,no_data,no_data,no_data,7.3mg/kg/day,no_data,no_data,no_data,no_data,no_data,118mg/kg/day,no_data,no_data,no_data,no_data
CHR:intestine large,GenRA Neg Act=0 (0.114) AUC=0 p=0.975,no_effect,no_effect,no_effect,no_effect,no_effect,no_effect,no_data,no_effect,no_effect,no_effect,117mg/kg/day,no_effect,no_data,no_effect,46.4mg/kg/day
CHR:intestine small,GenRA Neg Act=0 (0.083) AUC=0 p=0.905,no_effect,no_effect,58.9mg/kg/day,no_effect,no_effect,no_effect,no_data,no_effect,no_effect,no_effect,no_effect,no_effect,no_data,no_effect,no_effect
CHR:kidney,GenRA Neg Act=0 (0.403) AUC=0.38095238095238093 p=0.66,no_effect,no_effect,4mg/kg/day,5000mg/kg/day,0.73mg/kg/day,no_effect,no_data,no_effect,no_effect,60mg/kg/day,15mg/kg/day,no_effect,no_data,no_effect,1.8mg/kg/day
CHR:larynx,GenRA Neg Act=0 (0.083) AUC=0 p=0.945,no_effect,no_effect,61mg/kg/day,no_effect,no_effect,no_effect,no_data,no_effect,no_effect,no_effect,no_effect,no_effect,no_data,no_effect,no_effect
CHR:leukocyte (wbc) count differential,GenRA Neg Act=0 (0) AUC=0 p=1,no_effect,no_data,no_effect,no_data,no_effect,no_data,no_data,no_data,no_data,no_data,no_effect,no_data,no_data,no_data,no_effect
CHR:liver,GenRA Pos Act=1 (0.759) AUC=0.1111111111111111 p=0.995,25ppm,40mg/kg/day,6mg/kg/day,1500mg/kg/day,40mg/kg/day,1180mg/kg/day,no_data,no_effect,no_effect,no_effect,11.4mg/kg/day,200mg/kg/day,no_data,no_effect,2mg/kg/day
CHR:lung,GenRA Neg Act=0 (0.255) AUC=0.16666666666666666 p=0.925,no_effect,80mg/kg/day,no_effect,no_effect,no_effect,no_effect,no_data,no_effect,no_effect,no_effect,1225mg/kg/day,100mg/kg/day,no_data,no_effect,no_effect
CHR:lymph node,GenRA Neg Act=0 (0) AUC=0 p=1,no_effect,no_data,no_effect,no_effect,no_effect,no_effect,no_data,no_effect,no_data,no_data,no_effect,no_data,no_data,no_data,no_effect
CHR:mammary gland,GenRA Neg Act=0 (0) AUC=0 p=1,no_effect,no_effect,no_effect,no_effect,no_effect,no_effect,no_data,no_effect,no_effect,no_effect,no_effect,no_effect,no_data,no_effect,no_effect
CHR:mean corpuscular (cell) volume (mcv),GenRA Pos Act=1 (1) AUC=0 p=1,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,1671mg/kg/day,no_data,no_data,no_data,no_data
CHR:mean corpuscular hemoglobin concentration (mchc),GenRA Pos Act=1 (1) AUC=0 p=1,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,158mg/kg/day,no_data,no_data,no_data,no_data
CHR:monocytes,GenRA Pos Act=1 (1) AUC=0 p=1,no_data,no_data,17mg/kg/day,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
CHR:mortality,GenRA Neg Act=0 (0.381) AUC=0.023809523809523815 p=1,no_effect,no_effect,2.04mg/m^3,no_effect,no_effect,no_effect,no_data,0.18mg/kg/day,400mg/kg/day,no_effect,117mg/kg/day,200mg/kg/day,no_data,no_effect,3.2mg/kg/day
CHR:nerve,GenRA Neg Act=0 (0) AUC=0 p=1,no_effect,no_effect,no_effect,no_effect,no_effect,no_effect,no_data,no_effect,no_effect,no_effect,no_effect,no_effect,no_data,no_effect,no_effect
CHR:nose,GenRA Neg Act=0 (0.083) AUC=0 p=0.9,no_effect,no_effect,0.1ppm,no_effect,no_effect,no_effect,no_data,no_effect,no_effect,no_effect,no_effect,no_effect,no_data,no_effect,no_effect
CHR:nucleated red blood cell (nrbc),GenRA Pos Act=1 (1) AUC=0 p=1,no_data,no_data,17mg/kg/day,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
CHR:occult blood,GenRA Neg Act=0 (0) AUC=0 p=1,no_effect,no_data,no_effect,no_effect,no_effect,no_effect,no_data,no_effect,no_data,no_data,no_effect,no_data,no_data,no_data,no_effect
CHR:ovary,GenRA Neg Act=0 (0) AUC=0 p=1,no_effect,no_effect,no_effect,no_effect,no_effect,no_effect,no_data,no_effect,no_effect,no_effect,no_effect,no_effect,no_data,no_effect,no_effect
CHR:pancreas,GenRA Neg Act=0 (0.199) AUC=0.5454545454545454 p=0.395,no_effect,20mg/kg/day,no_effect,no_effect,no_effect,no_effect,no_data,no_effect,400mg/kg/day,no_effect,no_effect,no_effect,no_data,no_effect,no_effect
CHR:parathyroid gland,GenRA Neg Act=0 (0.055) AUC=0 p=0.925,no_effect,no_effect,no_effect,no_effect,no_effect,no_effect,no_data,no_effect,no_effect,no_effect,no_effect,no_effect,no_data,no_effect,27.2mg/kg/day
CHR:peritoneum,GenRA Pos Act=1 (1) AUC=0 p=1,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,93.1mg/kg/day
CHR:ph,GenRA Neg Act=0 (0.088) AUC=0 p=0.87,no_effect,no_data,no_effect,no_effect,no_effect,no_effect,no_data,no_effect,no_data,no_data,no_effect,no_data,no_data,no_data,93.1mg/kg/day
CHR:pharynx,GenRA Neg Act=0 (0) AUC=0 p=1,no_effect,no_data,no_effect,no_effect,no_effect,no_effect,no_data,no_effect,no_data,no_data,no_effect,no_data,no_data,no_data,no_effect
CHR:pituitary gland,GenRA Neg Act=0 (0.083) AUC=0 p=0.94,no_effect,no_effect,23.2mg/kg/day,no_effect,no_effect,no_effect,no_data,no_effect,no_effect,no_effect,no_effect,no_effect,no_data,no_effect,no_effect
CHR:preputial gland,GenRA Neg Act=0 (0) AUC=0 p=1,no_data,no_effect,no_effect,no_data,no_data,no_data,no_data,no_data,no_effect,no_effect,no_data,no_effect,no_data,no_effect,no_data
CHR:prostate,GenRA Neg Act=0 (0) AUC=0 p=1,no_effect,no_effect,no_effect,no_effect,no_effect,no_effect,no_data,no_effect,no_effect,no_effect,no_effect,no_effect,no_data,no_effect,no_effect
CHR:protein,GenRA Neg Act=0 (0.198) AUC=1 p=0,no_effect,no_data,no_effect,no_effect,0.73mg/kg/day,no_effect,no_data,no_effect,no_data,no_data,no_effect,no_data,no_data,no_data,93.1mg/kg/day
CHR:salivary glands,GenRA Neg Act=0 (0) AUC=0 p=1,no_effect,no_effect,no_effect,no_effect,no_effect,no_effect,no_data,no_effect,no_effect,no_effect,no_effect,no_effect,no_data,no_effect,no_effect
CHR:seminal vesicle,GenRA Neg Act=0 (0) AUC=0 p=1,no_effect,no_effect,no_effect,no_effect,no_effect,no_effect,no_data,no_effect,no_effect,no_effect,no_effect,no_effect,no_data,no_effect,no_effect
CHR:skeletal muscle,GenRA Neg Act=0 (0) AUC=0 p=1,no_data,no_effect,no_effect,no_data,no_data,no_data,no_data,no_data,no_effect,no_effect,no_data,no_effect,no_data,no_effect,no_data
CHR:skin,GenRA Neg Act=0 (0) AUC=0 p=1,no_effect,no_effect,no_effect,no_effect,no_effect,no_effect,no_data,no_effect,no_effect,no_effect,no_effect,no_effect,no_data,no_effect,no_effect
CHR:sorbitol dehydrogenase,GenRA Pos Act=1 (1) AUC=0 p=1,100ppm,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
CHR:specific gravity/osmolality,GenRA Neg Act=0 (0.198) AUC=1 p=0,no_effect,no_data,no_effect,no_effect,2.8mg/kg/day,no_effect,no_data,no_effect,no_data,no_data,no_effect,no_data,no_data,no_data,8mg/kg/day
CHR:spinal cord,GenRA Neg Act=0 (0) AUC=0 p=1,no_effect,no_data,no_effect,no_effect,no_effect,no_effect,no_data,no_effect,no_data,no_data,no_effect,no_data,no_data,no_data,no_effect
CHR:spleen,GenRA Neg Act=0 (0.396) AUC=0.625 p=0.215,no_effect,80mg/kg/day,6mg/kg/day,no_effect,no_effect,no_effect,no_data,no_effect,200mg/kg/day,no_effect,118mg/kg/day,no_effect,no_data,no_effect,46.4mg/kg/day
CHR:stomach,GenRA Neg Act=0 (0.26) AUC=0.2222222222222222 p=0.93,no_effect,no_effect,17mg/kg/day,no_effect,no_effect,no_effect,no_data,no_effect,300mg/kg/day,no_effect,no_effect,100mg/kg/day,no_data,100mg/kg/day,no_effect
CHR:testes,GenRA Neg Act=0 (0.265) AUC=0 p=0.995,no_effect,40mg/kg/day,no_effect,no_effect,no_effect,1180mg/kg/day,no_data,no_effect,no_effect,no_effect,no_effect,100mg/kg/day,no_data,no_effect,no_effect
CHR:thymus,GenRA Neg Act=0 (0.114) AUC=0 p=0.86,no_data,no_effect,no_effect,no_data,no_data,no_data,no_data,no_data,no_effect,no_effect,1225mg/kg/day,no_effect,no_data,no_effect,no_data
CHR:thyroid gland,GenRA Neg Act=0 (0.124) AUC=1 p=0,no_effect,no_effect,no_effect,no_effect,0.73mg/kg/day,no_effect,no_data,no_effect,no_effect,no_effect,no_effect,no_effect,no_data,no_effect,27.2mg/kg/day
CHR:thyroxine (t4),GenRA Pos Act=1 (1) AUC=0 p=1,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,93.1mg/kg/day
CHR:tongue,GenRA Neg Act=0 (0) AUC=0 p=1,no_data,no_effect,no_effect,no_data,no_data,no_data,no_data,no_data,no_effect,no_effect,no_data,no_effect,no_data,no_effect,no_data
CHR:trachea,GenRA Neg Act=0 (0.083) AUC=0 p=0.93,no_effect,no_effect,87.6mg/kg/day,no_effect,no_effect,no_effect,no_data,no_effect,no_effect,no_effect,no_effect,no_effect,no_data,no_effect,no_effect
CHR:triiodothyronine (t3),GenRA Pos Act=1 (1) AUC=0 p=1,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,93.1mg/kg/day
CHR:urinary bladder,GenRA Neg Act=0 (0.069) AUC=0 p=0.905,no_effect,no_effect,no_effect,no_effect,0.73mg/kg/day,no_effect,no_data,no_effect,no_effect,no_effect,no_effect,no_effect,no_data,no_effect,no_effect
CHR:uterus,GenRA Neg Act=0 (0) AUC=0 p=1,no_effect,no_effect,no_effect,no_effect,no_effect,no_effect,no_data,no_effect,no_effect,no_effect,no_effect,no_effect,no_data,no_effect,no_effect
CHR:vagina,GenRA Neg Act=0 (0) AUC=0 p=1,no_data,no_effect,no_effect,no_data,no_data,no_data,no_data,no_data,no_effect,no_effect,no_data,no_effect,no_data,no_effect,no_data
CHR:volume,GenRA Neg Act=0 (0.329) AUC=0.6 p=0.325,no_effect,no_data,17mg/kg/day,no_effect,7.3mg/kg/day,no_effect,no_data,no_effect,no_data,no_data,no_effect,no_data,no_data,no_data,32.9mg/kg/day
CHR:water consumption,GenRA Pos Act=1 (1) AUC=0 p=1,no_data,no_data,5.3mg/kg/day,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,27.2mg/kg/day
DEV:aborted,GenRA Neg Act=0 (0.284) AUC=0 p=0.985,no_effect,140mg/kg/day,no_effect,no_data,no_effect,no_data,no_effect,no_data,no_data,no_effect,no_effect,no_data,no_data,no_data,12mg/kg/day
DEV:all gross anomalies,GenRA Neg Act=0 (0) AUC=0 p=1,no_effect,no_effect,no_effect,no_data,no_effect,no_data,no_effect,no_data,no_data,no_effect,no_effect,no_data,no_data,no_data,no_effect
DEV:birth index,GenRA Neg Act=0 (0) AUC=0 p=1,no_effect,no_effect,no_effect,no_data,no_effect,no_data,no_effect,no_data,no_data,no_effect,no_effect,no_data,no_data,no_data,no_effect
DEV:body weight,GenRA Pos Act=1 (1) AUC=0 p=1,100mg/kg/day,100mg/kg/day,45mg/kg/day,no_data,36mg/kg/day,no_data,10mg/kg/day,no_data,no_data,68ppm,1000mg/kg/day,no_data,no_data,no_data,12mg/kg/day
DEV:bone,GenRA Pos Act=1 (0.791) AUC=0.3333333333333333 p=0.67,200mg/kg/day,100mg/kg/day,no_effect,no_data,36mg/kg/day,no_data,40mg/kg/day,no_data,no_data,68ppm,no_effect,no_data,no_data,no_data,12mg/kg/day
DEV:clinical signs,GenRA Pos Act=1 (0.811) AUC=0 p=0.96,400mg/kg/day,140mg/kg/day,25mg/kg/day,no_data,no_effect,no_data,10mg/kg/day,no_data,no_data,68ppm,no_effect,no_data,no_data,no_data,7mg/kg/day
DEV:corpora lutea,GenRA Neg Act=0 (0) AUC=0 p=1,no_effect,no_effect,no_effect,no_data,no_effect,no_data,no_effect,no_data,no_data,no_effect,no_effect,no_data,no_data,no_data,no_effect
DEV:dead fetuses,GenRA Neg Act=0 (0) AUC=0 p=1,no_effect,no_effect,no_effect,no_data,no_effect,no_data,no_effect,no_data,no_data,no_effect,no_effect,no_data,no_data,no_data,no_effect
DEV:diaphragm,GenRA Pos Act=1 (1) AUC=0 p=1,no_data,no_data,no_data,no_data,36mg/kg/day,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
DEV:dystocia,GenRA Neg Act=0 (0) AUC=0 p=1,no_effect,no_effect,no_effect,no_data,no_effect,no_data,no_effect,no_data,no_data,no_effect,no_effect,no_data,no_data,no_data,no_effect
DEV:eye,GenRA Pos Act=1 (1) AUC=0 p=1,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,68ppm,no_data,no_data,no_data,no_data,no_data
DEV:food consumption,GenRA Pos Act=1 (1) AUC=0 p=1,100mg/kg/day,140mg/kg/day,45mg/kg/day,no_data,36mg/kg/day,no_data,20mg/kg/day,no_data,no_data,160mg/kg/day,1000mg/kg/day,no_data,no_data,no_data,7mg/kg/day
DEV:full gross necropsy,GenRA Neg Act=0 (0) AUC=0 p=1,no_effect,no_effect,no_effect,no_data,no_effect,no_data,no_effect,no_data,no_data,no_effect,no_effect,no_data,no_data,no_data,no_effect
DEV:gallbladder,GenRA Pos Act=1 (1) AUC=0 p=1,400mg/kg/day,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
DEV:general,GenRA Pos Act=1 (1) AUC=0 p=1,166mg/kg/day,no_data,no_data,no_data,36mg/kg/day,no_data,no_data,no_data,no_data,250mg/kg/day,no_data,no_data,no_data,no_data,no_data
DEV:gestation index,GenRA Neg Act=0 (0) AUC=0 p=1,no_effect,no_effect,no_effect,no_data,no_effect,no_data,no_effect,no_data,no_data,no_effect,no_effect,no_data,no_data,no_data,no_effect
DEV:implantations,GenRA Neg Act=0 (0) AUC=0 p=1,no_effect,no_effect,no_effect,no_data,no_effect,no_data,no_effect,no_data,no_data,no_effect,no_effect,no_data,no_data,no_data,no_effect
DEV:intestine large,GenRA Pos Act=1 (1) AUC=0 p=1,no_data,no_data,45mg/kg/day,no_data,no_data,no_data,20mg/kg/day,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
DEV:limb,GenRA Pos Act=1 (1) AUC=0 p=1,450ppm,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
DEV:litter size,GenRA Neg Act=0 (0.425) AUC=0.33333333333333337 p=0.68,944mg/kg/day,140mg/kg/day,no_effect,no_data,no_effect,no_data,no_effect,no_data,no_data,no_effect,no_effect,no_data,no_data,no_data,no_effect
DEV:litter viability other,GenRA Neg Act=0 (0) AUC=0 p=1,no_effect,no_effect,no_effect,no_data,no_effect,no_data,no_effect,no_data,no_data,no_effect,no_effect,no_data,no_data,no_data,no_effect
DEV:live fetuses,GenRA Neg Act=0 (0.087) AUC=0 p=0.875,no_effect,no_effect,no_effect,no_data,no_effect,no_data,no_effect,no_data,no_data,125mg/kg/day,no_effect,no_data,no_data,no_data,no_effect
DEV:liver,GenRA Pos Act=1 (1) AUC=0 p=1,944mg/kg/day,no_data,no_data,no_data,no_data,no_data,20mg/kg/day,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
DEV:lung,GenRA Pos Act=1 (1) AUC=0 p=1,no_data,no_data,no_data,no_data,no_data,no_data,20mg/kg/day,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
DEV:mortality,GenRA Pos Act=1 (0.527) AUC=0.5 p=0.465,944mg/kg/day,no_effect,45mg/kg/day,no_data,no_effect,no_data,20mg/kg/day,no_data,no_data,68ppm,no_effect,no_data,no_data,no_data,no_effect
DEV:offspring survival early other,GenRA Neg Act=0 (0) AUC=0 p=1,no_effect,no_effect,no_effect,no_data,no_effect,no_data,no_effect,no_data,no_data,no_effect,no_effect,no_data,no_data,no_data,no_effect
DEV:other,GenRA Neg Act=0 (0) AUC=0 p=1,no_effect,no_effect,no_effect,no_data,no_effect,no_data,no_effect,no_data,no_data,no_effect,no_effect,no_data,no_data,no_data,no_effect
DEV:placenta,GenRA Pos Act=1 (1) AUC=0 p=1,94mg/kg/day,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
DEV:postimplantation loss,GenRA Neg Act=0 (0.218) AUC=0.33333333333333337 p=0.705,no_effect,no_effect,45mg/kg/day,no_data,no_effect,no_data,20mg/kg/day,no_data,no_data,no_effect,no_effect,no_data,no_data,no_data,no_effect
DEV:pregnancy,GenRA Neg Act=0 (0) AUC=0 p=1,no_effect,no_effect,no_effect,no_data,no_effect,no_data,no_effect,no_data,no_data,no_effect,no_effect,no_data,no_data,no_data,no_effect
DEV:pregnancy index,GenRA Pos Act=1 (1) AUC=0 p=1,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,125mg/kg/day,no_data,no_data,no_data,no_data,no_data
DEV:preimplantation loss,GenRA Neg Act=0 (0) AUC=0 p=1,no_effect,no_effect,no_effect,no_data,no_effect,no_data,no_effect,no_data,no_data,no_effect,no_effect,no_data,no_data,no_data,no_effect
DEV:premature delivery,GenRA Neg Act=0 (0) AUC=0 p=1,no_effect,no_effect,no_effect,no_data,no_effect,no_data,no_effect,no_data,no_data,no_effect,no_effect,no_data,no_data,no_data,no_effect
DEV:reproductive performance other,GenRA Neg Act=0 (0) AUC=0 p=1,no_effect,no_effect,no_effect,no_data,no_effect,no_data,no_effect,no_data,no_data,no_effect,no_effect,no_data,no_data,no_data,no_effect
DEV:resorptions,GenRA Neg Act=0 (0.44) AUC=0.4 p=0.59,378mg/kg/day,no_effect,45mg/kg/day,no_data,no_effect,no_data,20mg/kg/day,no_data,no_data,no_effect,no_effect,no_data,no_data,no_data,no_effect
DEV:sex ratio,GenRA Neg Act=0 (0) AUC=0 p=1,no_effect,no_effect,no_effect,no_data,no_effect,no_data,no_effect,no_data,no_data,no_effect,no_effect,no_data,no_data,no_data,no_effect
DEV:spinal cord,GenRA Neg Act=0 (0) AUC=0 p=1,no_effect,no_effect,no_effect,no_data,no_effect,no_data,no_effect,no_data,no_data,no_effect,no_effect,no_data,no_data,no_data,no_effect
DEV:spleen,GenRA Pos Act=1 (1) AUC=0 p=1,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,125mg/kg/day,no_data,no_data,no_data,no_data,no_data
DEV:stomach,GenRA Pos Act=1 (1) AUC=0 p=1,no_data,no_data,45mg/kg/day,no_data,no_data,no_data,20mg/kg/day,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
DEV:trunk,GenRA Neg Act=0 (0.222) AUC=0 p=0.875,450ppm,no_effect,no_effect,no_data,no_effect,no_data,no_effect,no_data,no_data,no_effect,no_effect,no_data,no_data,no_data,no_effect
DEV:uterus,GenRA Neg Act=0 (0.427) AUC=0 p=0.98,no_effect,140mg/kg/day,45mg/kg/day,no_data,36mg/kg/day,no_data,no_effect,no_data,no_data,no_effect,no_effect,no_data,no_data,no_data,no_effect
DEV:water consumption,GenRA Pos Act=1 (1) AUC=0 p=1,no_data,no_data,no_data,no_data,no_data,no_data,40mg/kg/day,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
MGR:[other],GenRA Neg Act=0 (0.114) AUC=0 p=0.735,no_effect,no_effect,no_effect,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_effect,no_data,no_data,no_data,17.2mg/kg/day
