role,target,analog,analog,analog,analog,analog,analog,analog,analog,analog,analog,analog,analog,analog,analog,analog
CHR:lung,GenRA Neg Act=0 (0.263) AUC=0 p=0.95,no_data,no_data,no_data,no_effect,no_effect,no_effect,no_data,no_effect,no_data,42mg/kg/day,no_effect,no_data,no_data,no_data,8.5mg/kg/day
CHR:lymph node,GenRA Pos Act=1 (0.527) AUC=0 p=0.835,no_data,no_data,no_data,500mg/kg/day,no_data,no_data,no_data,no_effect,no_data,567.9mg/kg/day,no_data,no_data,no_data,no_data,no_effect
CHR:mammary gland,GenRA Neg Act=0 (0) AUC=0 p=1,no_data,no_data,no_data,no_effect,no_effect,no_effect,no_data,no_effect,no_data,no_effect,no_effect,no_data,no_data,no_data,no_effect
CHR:mortality,GenRA Neg Act=0 (0.423) AUC=0 p=0.95,no_data,no_data,no_data,1000mg/kg/day,no_effect,no_effect,no_data,no_effect,no_data,1411.5mg/kg/day,no_effect,no_data,no_data,no_data,8.5mg/kg/day
CHR:nerve,GenRA Neg Act=0 (0) AUC=0 p=1,no_data,no_data,no_data,no_effect,no_effect,no_effect,no_data,no_effect,no_data,no_effect,no_effect,no_data,no_data,no_data,no_effect
CHR:nose,GenRA Neg Act=0 (0.16) AUC=0 p=0.835,no_data,no_data,no_data,500mg/kg/day,no_effect,no_effect,no_data,no_effect,no_data,no_effect,no_effect,no_data,no_data,no_data,no_effect
CHR:occult blood,GenRA Neg Act=0 (0) AUC=0 p=1,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_effect,no_data,no_effect,no_data,no_data,no_data,no_data,no_effect
CHR:ovary,GenRA Neg Act=0 (0) AUC=0 p=1,no_data,no_data,no_data,no_effect,no_effect,no_effect,no_data,no_effect,no_data,no_effect,no_effect,no_data,no_data,no_data,no_effect
CHR:pancreas,GenRA Neg Act=0 (0) AUC=0 p=1,no_data,no_data,no_data,no_effect,no_effect,no_effect,no_data,no_effect,no_data,no_effect,no_effect,no_data,no_data,no_data,no_effect
CHR:parathyroid gland,GenRA Neg Act=0 (0) AUC=0 p=1,no_data,no_data,no_data,no_effect,no_effect,no_effect,no_data,no_effect,no_data,no_effect,no_effect,no_data,no_data,no_data,no_effect
CHR:ph,GenRA Neg Act=0 (0) AUC=0 p=1,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_effect,no_data,no_effect,no_data,no_data,no_data,no_data,no_effect
CHR:pharynx,GenRA Neg Act=0 (0) AUC=0 p=1,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_effect,no_data,no_effect,no_data,no_data,no_data,no_data,no_effect
CHR:pituitary gland,GenRA Neg Act=0 (0) AUC=0 p=1,no_data,no_data,no_data,no_effect,no_effect,no_effect,no_data,no_effect,no_data,no_effect,no_effect,no_data,no_data,no_data,no_effect
CHR:preputial gland,GenRA Neg Act=0 (0) AUC=0 p=1,no_data,no_data,no_data,no_effect,no_effect,no_effect,no_data,no_data,no_data,no_data,no_effect,no_data,no_data,no_data,no_data
CHR:prostate,GenRA Neg Act=0 (0) AUC=0 p=1,no_data,no_data,no_data,no_effect,no_effect,no_effect,no_data,no_effect,no_data,no_effect,no_effect,no_data,no_data,no_data,no_effect
CHR:protein,GenRA Neg Act=0 (0.312) AUC=0 p=0.7,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_effect,no_data,no_effect,no_data,no_data,no_data,no_data,66.96mg/kg/day
CHR:salivary glands,GenRA Neg Act=0 (0) AUC=0 p=1,no_data,no_data,no_data,no_effect,no_effect,no_effect,no_data,no_effect,no_data,no_effect,no_effect,no_data,no_data,no_data,no_effect
CHR:seminal vesicle,GenRA Neg Act=0 (0) AUC=0 p=1,no_data,no_data,no_data,no_effect,no_effect,no_effect,no_data,no_effect,no_data,no_effect,no_effect,no_data,no_data,no_data,no_effect
CHR:skeletal muscle,GenRA Neg Act=0 (0) AUC=0 p=1,no_data,no_data,no_data,no_effect,no_effect,no_effect,no_data,no_data,no_data,no_data,no_effect,no_data,no_data,no_data,no_data
CHR:skin,GenRA Neg Act=0 (0) AUC=0 p=1,no_data,no_data,no_data,no_effect,no_effect,no_effect,no_data,no_effect,no_data,no_effect,no_effect,no_data,no_data,no_data,no_effect
CHR:specific gravity/osmolality,GenRA Neg Act=0 (0) AUC=0 p=1,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_effect,no_data,no_effect,no_data,no_data,no_data,no_data,no_effect
CHR:spinal cord,GenRA Neg Act=0 (0) AUC=0 p=1,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_effect,no_data,no_effect,no_data,no_data,no_data,no_data,no_effect
CHR:spleen,GenRA Neg Act=0 (0.297) AUC=0 p=0.96,no_data,no_data,no_data,500mg/kg/day,no_effect,no_effect,no_data,no_effect,no_data,1411.5mg/kg/day,no_effect,no_data,no_data,no_data,no_effect
CHR:stomach,GenRA Neg Act=0 (0.314) AUC=0 p=0.97,no_data,no_data,no_data,500mg/kg/day,100mg/kg/day,no_effect,no_data,no_effect,no_data,no_effect,no_effect,no_data,no_data,no_data,no_effect
CHR:testes,GenRA Neg Act=0 (0.141) AUC=0 p=0.875,no_data,no_data,no_data,no_effect,no_effect,no_effect,no_data,1180mg/kg/day,no_data,no_effect,no_effect,no_data,no_data,no_data,no_effect
CHR:thymus,GenRA Neg Act=0 (0) AUC=0 p=1,no_data,no_data,no_data,no_effect,no_effect,no_effect,no_data,no_data,no_data,no_data,no_effect,no_data,no_data,no_data,no_data
CHR:thyroid gland,GenRA Neg Act=0 (0) AUC=0 p=1,no_data,no_data,no_data,no_effect,no_effect,no_effect,no_data,no_effect,no_data,no_effect,no_effect,no_data,no_data,no_data,no_effect
CHR:tongue,GenRA Neg Act=0 (0) AUC=0 p=1,no_data,no_data,no_data,no_effect,no_effect,no_effect,no_data,no_data,no_data,no_data,no_effect,no_data,no_data,no_data,no_data
CHR:trachea,GenRA Neg Act=0 (0) AUC=0 p=1,no_data,no_data,no_data,no_effect,no_effect,no_effect,no_data,no_effect,no_data,no_effect,no_effect,no_data,no_data,no_data,no_effect
CHR:urinary bladder,GenRA Neg Act=0 (0.137) AUC=0 p=0.86,no_data,no_data,no_data,no_effect,no_effect,no_effect,no_data,no_effect,no_data,423.2mg/kg/day,no_effect,no_data,no_data,no_data,no_effect
CHR:uterus,GenRA Neg Act=0 (0.16) AUC=0 p=0.865,no_data,no_data,no_data,1000mg/kg/day,no_effect,no_effect,no_data,no_effect,no_data,no_effect,no_effect,no_data,no_data,no_data,no_effect
CHR:vagina,GenRA Neg Act=0 (0) AUC=0 p=1,no_data,no_data,no_data,no_effect,no_effect,no_effect,no_data,no_data,no_data,no_data,no_effect,no_data,no_data,no_data,no_data
CHR:volume,GenRA Neg Act=0 (0) AUC=0 p=1,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_effect,no_data,no_effect,no_data,no_data,no_data,no_data,no_effect
DEV:aborted,GenRA Neg Act=0 (0) AUC=0 p=1,no_data,no_effect,no_effect,no_effect,no_data,no_effect,no_effect,no_data,no_effect,no_effect,no_data,no_effect,no_data,no_effect,no_effect
DEV:all gross anomalies,GenRA Neg Act=0 (0) AUC=0 p=1,no_data,no_effect,no_effect,no_effect,no_data,no_effect,no_effect,no_data,no_effect,no_effect,no_data,no_effect,no_data,no_effect,no_effect
DEV:birth index,GenRA Neg Act=0 (0) AUC=0 p=1,no_data,no_effect,no_effect,no_effect,no_data,no_effect,no_effect,no_data,no_effect,no_effect,no_data,no_effect,no_data,no_effect,no_effect
DEV:body weight,GenRA Pos Act=1 (1) AUC=0 p=1,no_data,300mg/kg/day,120mg/kg/day,1200mg/kg/day,no_data,68ppm,200mg/kg/day,no_data,99ppm,300mg/kg/day,no_data,45mg/kg/day,no_data,10mg/kg/day,6.3mg/kg/day
DEV:bone,GenRA Pos Act=1 (0.789) AUC=0.5 p=0.445,no_data,100mg/kg/day,no_effect,1200mg/kg/day,no_data,68ppm,1000mg/kg/day,no_data,50ppm,1800mg/kg/day,no_data,no_effect,no_data,10mg/kg/day,6.3mg/kg/day
DEV:brain,GenRA Pos Act=1 (1) AUC=0 p=1,no_data,300mg/kg/day,no_data,no_data,no_data,no_data,no_data,no_data,300ppm,no_data,no_data,no_data,no_data,no_data,no_data
DEV:clinical signs,GenRA Pos Act=1 (0.586) AUC=0 p=1,no_data,500mg/kg/day,no_effect,no_effect,no_data,68ppm,no_effect,no_data,100ppm,50mg/kg/day,no_data,45mg/kg/day,no_data,no_effect,50mg/kg/day
DEV:corpora lutea,GenRA Neg Act=0 (0) AUC=0 p=1,no_data,no_effect,no_effect,no_effect,no_data,no_effect,no_effect,no_data,no_effect,no_effect,no_data,no_effect,no_data,no_effect,no_effect
DEV:dead fetuses,GenRA Neg Act=0 (0.085) AUC=0 p=0.915,no_data,no_effect,no_effect,no_effect,no_data,no_effect,no_effect,no_data,no_effect,no_effect,no_data,no_effect,no_data,no_effect,20mg/kg/day
DEV:dystocia,GenRA Neg Act=0 (0) AUC=0 p=1,no_data,no_effect,no_effect,no_effect,no_data,no_effect,no_effect,no_data,no_effect,no_effect,no_data,no_effect,no_data,no_effect,no_effect
DEV:ear,GenRA Pos Act=1 (1) AUC=0 p=1,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,300ppm,no_data,no_data,no_data,no_data,no_data,no_data
DEV:erythrocyte (rbc) count differential,GenRA Pos Act=1 (1) AUC=0 p=1,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,100ppm,no_data,no_data,no_data,no_data,no_data,no_data
DEV:estrous cycle,GenRA Pos Act=1 (1) AUC=0 p=1,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,300ppm,no_data,no_data,no_data,no_data,no_data,no_data
DEV:eye,GenRA Pos Act=1 (1) AUC=0 p=1,no_data,no_data,no_data,no_data,no_data,68ppm,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
DEV:food consumption,GenRA Neg Act=0 (0.377) AUC=0.16666666666666666 p=0.955,no_data,no_effect,no_effect,no_effect,no_data,160mg/kg/day,200mg/kg/day,no_data,300ppm,no_effect,no_data,no_effect,no_data,no_effect,6.3mg/kg/day
DEV:full gross necropsy,GenRA Neg Act=0 (0) AUC=0 p=1,no_data,no_effect,no_effect,no_effect,no_data,no_effect,no_effect,no_data,no_effect,no_effect,no_data,no_effect,no_data,no_effect,no_effect
DEV:gallbladder,GenRA Pos Act=1 (1) AUC=0 p=1,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,412ppm,no_data,no_data,no_data,no_data,no_data,no_data
DEV:general,GenRA Pos Act=1 (1) AUC=0 p=1,no_data,no_data,no_data,no_data,no_data,250mg/kg/day,no_data,no_data,387.2ppm,no_data,no_data,no_data,no_data,no_data,no_data
DEV:gestation index,GenRA Neg Act=0 (0) AUC=0 p=1,no_data,no_effect,no_effect,no_effect,no_data,no_effect,no_effect,no_data,no_effect,no_effect,no_data,no_effect,no_data,no_effect,no_effect
DEV:great vessels,GenRA Pos Act=1 (1) AUC=0 p=1,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,100ppm,no_data,no_data,no_data,no_data,no_data,no_data
DEV:heart,GenRA Pos Act=1 (1) AUC=0 p=1,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,130ppm,no_data,no_data,no_data,no_data,no_data,no_data
DEV:hematocrit (hct),GenRA Pos Act=1 (1) AUC=0 p=1,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,100ppm,no_data,no_data,no_data,no_data,no_data,no_data
DEV:hemoglobin (hgb),GenRA Pos Act=1 (1) AUC=0 p=1,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,100ppm,no_data,no_data,no_data,no_data,no_data,no_data
DEV:implantations,GenRA Neg Act=0 (0.201) AUC=0 p=0.985,no_data,no_effect,no_effect,1200mg/kg/day,no_data,no_effect,no_effect,no_data,200ppm,no_effect,no_data,no_effect,no_data,no_effect,no_effect
DEV:kidney,GenRA Pos Act=1 (1) AUC=0 p=1,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,300ppm,no_data,no_data,no_data,no_data,no_data,6.3mg/kg/day
DEV:leukocyte (wbc) count differential,GenRA Pos Act=1 (1) AUC=0 p=1,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,200ppm,no_data,no_data,no_data,no_data,no_data,no_data
DEV:limb,GenRA Pos Act=1 (1) AUC=0 p=1,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,412ppm,no_data,no_data,no_data,no_data,no_data,no_data
DEV:litter size,GenRA Neg Act=0 (0) AUC=0 p=1,no_data,no_effect,no_effect,no_effect,no_data,no_effect,no_effect,no_data,no_effect,no_effect,no_data,no_effect,no_data,no_effect,no_effect
DEV:litter viability other,GenRA Neg Act=0 (0.085) AUC=0 p=0.905,no_data,no_effect,no_effect,no_effect,no_data,no_effect,no_effect,no_data,no_effect,no_effect,no_data,no_effect,no_data,no_effect,900mg/kg/day
DEV:live fetuses,GenRA Neg Act=0 (0.323) AUC=0.14285714285714285 p=0.96,no_data,500mg/kg/day,no_effect,no_effect,no_data,125mg/kg/day,no_effect,no_data,200ppm,no_effect,no_data,no_effect,no_data,no_effect,no_effect
DEV:liver,GenRA Pos Act=1 (1) AUC=0 p=1,no_data,500mg/kg/day,120mg/kg/day,no_data,no_data,no_data,no_data,no_data,50ppm,no_data,no_data,no_data,no_data,10mg/kg/day,no_data
DEV:lung,GenRA Pos Act=1 (1) AUC=0 p=1,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,200ppm,no_data,no_data,no_data,no_data,no_data,no_data
DEV:mean corpuscular (cell) volume (mcv),GenRA Pos Act=1 (1) AUC=0 p=1,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,100ppm,no_data,no_data,no_data,no_data,no_data,no_data
DEV:mortality,GenRA Neg Act=0 (0.421) AUC=0.33333333333333337 p=0.76,no_data,1000mg/kg/day,no_effect,1200mg/kg/day,no_data,68ppm,no_effect,no_data,no_effect,no_effect,no_data,no_effect,no_data,no_effect,900mg/kg/day
DEV:mouth / jaw,GenRA Pos Act=1 (1) AUC=0 p=1,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,100ppm,no_data,no_data,no_data,no_data,no_data,no_data
DEV:offspring survival early other,GenRA Neg Act=0 (0) AUC=0 p=1,no_data,no_effect,no_effect,no_effect,no_data,no_effect,no_effect,no_data,no_effect,no_effect,no_data,no_effect,no_data,no_effect,no_effect
DEV:other,GenRA Neg Act=0 (0) AUC=0 p=1,no_data,no_effect,no_effect,no_effect,no_data,no_effect,no_effect,no_data,no_effect,no_effect,no_data,no_effect,no_data,no_effect,no_effect
DEV:paw / digit,GenRA Pos Act=1 (1) AUC=0 p=1,no_data,300mg/kg/day,no_data,1200mg/kg/day,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
DEV:placenta,GenRA Pos Act=1 (1) AUC=0 p=1,no_data,300mg/kg/day,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
DEV:platelet,GenRA Pos Act=1 (1) AUC=0 p=1,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,100ppm,no_data,no_data,no_data,no_data,no_data,no_data
DEV:postimplantation loss,GenRA Neg Act=0 (0.345) AUC=0.09523809523809523 p=0.985,no_data,500mg/kg/day,180mg/kg/day,no_effect,no_data,no_effect,no_effect,no_data,412ppm,no_effect,no_data,no_effect,no_data,no_effect,no_effect
DEV:pregnancy,GenRA Neg Act=0 (0.127) AUC=0 p=0.89,no_data,300mg/kg/day,no_effect,no_effect,no_data,no_effect,no_effect,no_data,no_effect,no_effect,no_data,no_effect,no_data,no_effect,no_effect
DEV:pregnancy index,GenRA Pos Act=1 (1) AUC=0 p=1,no_data,no_data,no_data,no_data,no_data,125mg/kg/day,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
DEV:preimplantation loss,GenRA Neg Act=0 (0) AUC=0 p=1,no_data,no_effect,no_effect,no_effect,no_data,no_effect,no_effect,no_data,no_effect,no_effect,no_data,no_effect,no_data,no_effect,no_effect
DEV:premature delivery,GenRA Neg Act=0 (0) AUC=0 p=1,no_data,no_effect,no_effect,no_effect,no_data,no_effect,no_effect,no_data,no_effect,no_effect,no_data,no_effect,no_data,no_effect,no_effect
DEV:reproductive performance other,GenRA Neg Act=0 (0) AUC=0 p=1,no_data,no_effect,no_effect,no_effect,no_data,no_effect,no_effect,no_data,no_effect,no_effect,no_data,no_effect,no_data,no_effect,no_effect
DEV:resorptions,GenRA Neg Act=0 (0.221) AUC=0.125 p=0.88,no_data,1000mg/kg/day,no_effect,no_effect,no_data,no_effect,no_effect,no_data,300ppm,no_effect,no_data,no_effect,no_data,no_effect,no_effect
DEV:sex ratio,GenRA Neg Act=0 (0) AUC=0 p=1,no_data,no_effect,no_effect,no_effect,no_data,no_effect,no_effect,no_data,no_effect,no_effect,no_data,no_effect,no_data,no_effect,no_effect
DEV:spinal cord,GenRA Neg Act=0 (0) AUC=0 p=1,no_data,no_effect,no_effect,no_effect,no_data,no_effect,no_effect,no_data,no_effect,no_effect,no_data,no_effect,no_data,no_effect,no_effect
DEV:spleen,GenRA Pos Act=1 (1) AUC=0 p=1,no_data,no_data,no_data,no_data,no_data,125mg/kg/day,no_data,no_data,99ppm,no_data,no_data,no_data,no_data,no_data,no_data
DEV:trunk,GenRA Neg Act=0 (0.094) AUC=0 p=0.92,no_data,no_effect,no_effect,no_effect,no_data,no_effect,no_effect,no_data,390ppm,no_effect,no_data,no_effect,no_data,no_effect,no_effect
DEV:ureter,GenRA Pos Act=1 (1) AUC=0 p=1,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,250mg/kg/day
DEV:uterus,GenRA Neg Act=0 (0.499) AUC=0.36 p=0.73,no_data,no_effect,180mg/kg/day,1200mg/kg/day,no_data,no_effect,no_effect,no_data,300ppm,no_effect,no_data,15mg/kg/day,no_data,10mg/kg/day,no_effect
DEV:vagina,GenRA Pos Act=1 (1) AUC=0 p=1,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,50mg/kg/day
DEV:water consumption,GenRA Pos Act=1 (1) AUC=0 p=1,no_data,600mg/kg/day,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
MGR:[other],GenRA Neg Act=0 (0) AUC=0 p=1,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_effect,no_data,no_data
MGR:aborted,GenRA Neg Act=0 (0) AUC=0 p=1,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_effect,no_data,no_data
MGR:adrenal gland,GenRA Neg Act=0 (0) AUC=0 p=1,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_effect,no_data,no_data
MGR:all gross anomalies,GenRA Neg Act=0 (0) AUC=0 p=1,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_effect,no_data,no_data
MGR:birth index,GenRA Neg Act=0 (0) AUC=0 p=1,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_effect,no_data,no_data
MGR:body weight,GenRA Pos Act=1 (1) AUC=0 p=1,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,20mg/kg/day,no_data,no_data
MGR:brain,GenRA Neg Act=0 (0) AUC=0 p=1,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_effect,no_data,no_data
MGR:cervix,GenRA Neg Act=0 (0) AUC=0 p=1,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_effect,no_data,no_data
MGR:clinical signs,GenRA Neg Act=0 (0) AUC=0 p=1,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_effect,no_data,no_data
MGR:coagulating gland,GenRA Neg Act=0 (0) AUC=0 p=1,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_effect,no_data,no_data
MGR:corpora lutea,GenRA Neg Act=0 (0) AUC=0 p=1,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_effect,no_data,no_data
MGR:dead fetuses,GenRA Neg Act=0 (0) AUC=0 p=1,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_effect,no_data,no_data
