role,target,analog,analog,analog,analog,analog,analog,analog,analog,analog,analog,analog,analog,analog,analog,analog
CHR:pancreas,GenRA Neg Act=0 (0.093) AUC=0.1111111111111111 p=0.685,no_effect,no_effect,no_data,no_effect,20mg/kg/day,no_effect,no_data,no_effect,no_data,no_data,no_effect,no_effect,no_effect,no_data,no_effect
CHR:parathyroid gland,GenRA Neg Act=0 (0.177) AUC=0 p=0.985,no_effect,no_effect,no_data,no_effect,no_effect,80ppm,no_data,no_effect,no_data,no_data,no_effect,40mg/kg/day,no_effect,no_data,no_effect
CHR:ph,GenRA Neg Act=0 (0) AUC=0 p=1,no_data,no_data,no_data,no_effect,no_data,no_effect,no_data,no_effect,no_data,no_data,no_effect,no_effect,no_effect,no_data,no_effect
CHR:pharynx,GenRA Neg Act=0 (0) AUC=0 p=1,no_data,no_effect,no_data,no_effect,no_data,no_effect,no_data,no_effect,no_data,no_data,no_effect,no_effect,no_effect,no_data,no_effect
CHR:phosphorus,GenRA Pos Act=1 (1) AUC=0 p=1,no_data,no_data,no_data,7.5mg/kg/day,no_data,80ppm,no_data,no_data,no_data,no_data,no_data,183mg/kg/day,no_data,no_data,no_data
CHR:pituitary gland,GenRA Neg Act=0 (0.093) AUC=0.16666666666666669 p=0.595,no_effect,no_effect,no_data,2mg/kg/day,no_effect,no_effect,no_data,no_effect,no_data,no_data,no_effect,no_effect,no_effect,no_data,no_effect
CHR:potassium,GenRA Pos Act=1 (1) AUC=0 p=1,no_data,no_data,no_data,7.5mg/kg/day,no_data,no_data,no_data,no_data,no_data,no_data,no_data,0.5mg/kg/day,no_data,no_data,no_data
CHR:preputial gland,GenRA Neg Act=0 (0) AUC=0 p=1,no_effect,no_data,no_data,no_data,no_effect,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_effect,no_data,no_data
CHR:prostate,GenRA Neg Act=0 (0.084) AUC=0.2222222222222222 p=0.545,no_effect,no_effect,no_data,no_effect,no_effect,no_effect,no_data,no_effect,no_data,no_data,no_effect,40mg/kg/day,no_effect,no_data,no_effect
CHR:protein,GenRA Neg Act=0 (0.436) AUC=0.5833333333333333 p=0.42,no_data,no_data,no_data,2.5mg/kg/day,no_data,80ppm,no_data,no_effect,no_data,no_data,no_effect,10mg/kg/day,no_effect,no_data,no_effect
CHR:reticulocyte,GenRA Pos Act=1 (1) AUC=0 p=1,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,10mg/kg/day,no_data,no_data,no_data
CHR:salivary glands,GenRA Neg Act=0 (0) AUC=0 p=1,no_effect,no_effect,no_data,no_effect,no_effect,no_effect,no_data,no_effect,no_data,no_data,no_effect,no_effect,no_effect,no_data,no_effect
CHR:seminal vesicle,GenRA Neg Act=0 (0) AUC=0 p=1,no_effect,no_effect,no_data,no_effect,no_effect,no_effect,no_data,no_effect,no_data,no_data,no_effect,no_effect,no_effect,no_data,no_effect
CHR:skeletal muscle,GenRA Neg Act=0 (0) AUC=0 p=1,no_effect,no_data,no_data,no_data,no_effect,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_effect,no_data,no_data
CHR:skin,GenRA Neg Act=0 (0.237) AUC=0.875 p=0.06,8mg/kg/day,no_effect,no_data,no_effect,no_effect,no_effect,no_data,no_effect,no_data,no_data,no_effect,13.9mg/kg/day,no_effect,no_data,no_effect
CHR:sodium,GenRA Pos Act=1 (1) AUC=0 p=1,no_data,no_data,no_data,7.5mg/kg/day,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
CHR:specific gravity/osmolality,GenRA Neg Act=0 (0.286) AUC=0 p=0.95,no_data,no_data,no_data,no_effect,no_data,80ppm,no_data,no_effect,no_data,no_data,no_effect,40mg/kg/day,no_effect,no_data,no_effect
CHR:spinal cord,GenRA Neg Act=0 (0) AUC=0 p=1,no_data,no_effect,no_data,no_effect,no_data,no_effect,no_data,no_effect,no_data,no_data,no_effect,no_effect,no_effect,no_data,no_effect
CHR:spleen,GenRA Neg Act=0 (0.364) AUC=0.12499999999999997 p=0.985,no_effect,no_effect,no_data,2mg/kg/day,80mg/kg/day,79.35mg/kg/day,no_data,no_effect,no_data,no_data,no_effect,20mg/kg/day,no_effect,no_data,no_effect
CHR:stomach,GenRA Neg Act=0 (0.414) AUC=0.20833333333333334 p=0.93,4mg/kg/day,no_effect,no_data,no_effect,no_effect,80ppm,no_data,no_effect,no_data,no_data,no_effect,0.7mg/kg/day,130mg/kg/day,no_data,no_effect
CHR:testes,GenRA Neg Act=0 (0.364) AUC=0.12499999999999997 p=0.97,no_effect,no_effect,no_data,7.5mg/kg/day,40mg/kg/day,79.35mg/kg/day,no_data,no_effect,no_data,no_data,no_effect,450mg/kg/day,no_effect,no_data,no_effect
CHR:thymus,GenRA Neg Act=0 (0.451) AUC=0 p=0.96,no_effect,no_data,no_data,10mg/kg/day,no_effect,79.35mg/kg/day,no_data,no_data,no_data,no_data,no_data,40mg/kg/day,no_effect,no_data,no_data
CHR:thyroid gland,GenRA Neg Act=0 (0.359) AUC=0.41666666666666674 p=0.63,no_effect,no_effect,no_data,7.5mg/kg/day,no_effect,79.35mg/kg/day,no_data,no_effect,no_data,no_data,9.546mg/kg/day,2.7mg/kg/day,no_effect,no_data,no_effect
CHR:thyroxine (t4),GenRA Pos Act=1 (1) AUC=0 p=1,no_data,no_data,no_data,7.5mg/kg/day,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
CHR:tongue,GenRA Neg Act=0 (0) AUC=0 p=1,no_effect,no_data,no_data,no_data,no_effect,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_effect,no_data,no_data
CHR:trachea,GenRA Neg Act=0 (0) AUC=0 p=1,no_effect,no_effect,no_data,no_effect,no_effect,no_effect,no_data,no_effect,no_data,no_data,no_effect,no_effect,no_effect,no_data,no_effect
CHR:triglycerides,GenRA Pos Act=1 (1) AUC=0 p=1,no_data,no_data,no_data,no_data,no_data,80ppm,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
CHR:triiodothyronine (t3),GenRA Pos Act=1 (1) AUC=0 p=1,no_data,no_data,no_data,2.5mg/kg/day,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
CHR:urea nitrogen,GenRA Pos Act=1 (1) AUC=0 p=1,no_data,no_data,no_data,10mg/kg/day,no_data,80ppm,no_data,no_data,no_data,no_data,no_data,175mg/kg/day,no_data,no_data,no_data
CHR:urinary bladder,GenRA Neg Act=0 (0.093) AUC=0.16666666666666669 p=0.615,no_effect,no_effect,no_data,13.6mg/kg/day,no_effect,no_effect,no_data,no_effect,no_data,no_data,no_effect,no_effect,no_effect,no_data,no_effect
CHR:uterus,GenRA Neg Act=0 (0) AUC=0 p=1,no_effect,no_effect,no_data,no_effect,no_effect,no_effect,no_data,no_effect,no_data,no_data,no_effect,no_effect,no_effect,no_data,no_effect
CHR:vagina,GenRA Neg Act=0 (0) AUC=0 p=1,no_effect,no_data,no_data,no_data,no_effect,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_effect,no_data,no_data
CHR:volume,GenRA Neg Act=0 (0.135) AUC=0.25 p=0.41,no_data,no_data,no_data,no_effect,no_data,no_effect,no_data,no_effect,no_data,no_data,no_effect,40mg/kg/day,no_effect,no_data,no_effect
CHR:water consumption,GenRA Pos Act=1 (1) AUC=0 p=1,3mg/kg/day,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,35mg/kg/day,no_data,no_data
DEV:[other],GenRA Pos Act=1 (1) AUC=0 p=1,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,320mg/kg/day,no_data,no_data
DEV:aborted,GenRA Neg Act=0 (0.218) AUC=0 p=0.985,no_data,no_data,no_data,no_effect,140mg/kg/day,no_effect,no_effect,no_data,no_effect,no_effect,no_data,1000mg/kg/day,no_effect,no_effect,no_data
DEV:all gross anomalies,GenRA Neg Act=0 (0) AUC=0 p=1,no_data,no_data,no_data,no_effect,no_effect,no_effect,no_effect,no_data,no_effect,no_effect,no_data,no_effect,no_effect,no_effect,no_data
DEV:anisocytosis,GenRA Pos Act=1 (1) AUC=0 p=1,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,320mg/kg/day,no_data,no_data
DEV:birth index,GenRA Neg Act=0 (0) AUC=0 p=1,no_data,no_data,no_data,no_effect,no_effect,no_effect,no_effect,no_data,no_effect,no_effect,no_data,no_effect,no_effect,no_effect,no_data
DEV:blood vessel,GenRA Pos Act=1 (1) AUC=0 p=1,no_data,no_data,no_data,no_data,no_data,no_data,64mg/kg/day,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
DEV:body weight,GenRA Pos Act=1 (1) AUC=0 p=1,no_data,no_data,no_data,10mg/kg/day,100mg/kg/day,225ppm,32mg/kg/day,no_data,120mg/kg/day,275mg/kg/day,no_data,500mg/kg/day,100.1mg/kg/day,125mg/kg/day,no_data
DEV:bone,GenRA Neg Act=0 (0.46) AUC=0.5 p=0.5,no_data,no_data,no_data,90mg/kg/day,100mg/kg/day,no_effect,64mg/kg/day,no_data,no_effect,275mg/kg/day,no_data,no_effect,no_effect,no_effect,no_data
DEV:brain,GenRA Pos Act=1 (1) AUC=0 p=1,no_data,no_data,no_data,36mg/kg/day,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
DEV:clinical signs,GenRA Pos Act=1 (0.77) AUC=0.42857142857142855 p=0.59,no_data,no_data,no_data,30mg/kg/day,140mg/kg/day,no_effect,64mg/kg/day,no_data,no_effect,275mg/kg/day,no_data,250mg/kg/day,320mg/kg/day,20mg/kg/day,no_data
DEV:corpora lutea,GenRA Neg Act=0 (0) AUC=0 p=1,no_data,no_data,no_data,no_effect,no_effect,no_effect,no_effect,no_data,no_effect,no_effect,no_data,no_effect,no_effect,no_effect,no_data
DEV:dead fetuses,GenRA Neg Act=0 (0.115) AUC=0.3125 p=0.35,no_data,no_data,no_data,36mg/kg/day,no_effect,no_effect,no_effect,no_data,no_effect,no_effect,no_data,no_effect,no_effect,no_effect,no_data
DEV:diaphragm,GenRA Pos Act=1 (1) AUC=0 p=1,no_data,no_data,no_data,90mg/kg/day,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
DEV:dystocia,GenRA Neg Act=0 (0) AUC=0 p=1,no_data,no_data,no_data,no_effect,no_effect,no_effect,no_effect,no_data,no_effect,no_effect,no_data,no_effect,no_effect,no_effect,no_data
DEV:erythrocyte (rbc) count differential,GenRA Pos Act=1 (1) AUC=0 p=1,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,100.1mg/kg/day,no_data,no_data
DEV:eye,GenRA Pos Act=1 (1) AUC=0 p=1,no_data,no_data,no_data,12mg/kg/day,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
DEV:food consumption,GenRA Pos Act=1 (0.552) AUC=0 p=0.99,no_data,no_data,no_data,30mg/kg/day,140mg/kg/day,no_effect,no_effect,no_data,120mg/kg/day,no_effect,no_data,500mg/kg/day,no_effect,90mg/kg/day,no_data
DEV:full gross necropsy,GenRA Neg Act=0 (0) AUC=0 p=1,no_data,no_data,no_data,no_effect,no_effect,no_effect,no_effect,no_data,no_effect,no_effect,no_data,no_effect,no_effect,no_effect,no_data
DEV:gallbladder,GenRA Pos Act=1 (1) AUC=0 p=1,no_data,no_data,no_data,36mg/kg/day,no_data,no_data,no_data,no_data,no_data,no_data,no_data,1000mg/kg/day,no_data,no_data,no_data
DEV:general,GenRA Pos Act=1 (1) AUC=0 p=1,no_data,no_data,no_data,18mg/kg/day,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
DEV:gestation index,GenRA Neg Act=0 (0) AUC=0 p=1,no_data,no_data,no_data,no_effect,no_effect,no_effect,no_effect,no_data,no_effect,no_effect,no_data,no_effect,no_effect,no_effect,no_data
DEV:hemoglobin (hgb),GenRA Pos Act=1 (1) AUC=0 p=1,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,50.05mg/kg/day,no_data,no_data
DEV:hypochromia,GenRA Pos Act=1 (1) AUC=0 p=1,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,320mg/kg/day,no_data,no_data
DEV:implantations,GenRA Neg Act=0 (0) AUC=0 p=1,no_data,no_data,no_data,no_effect,no_effect,no_effect,no_effect,no_data,no_effect,no_effect,no_data,no_effect,no_effect,no_effect,no_data
DEV:kidney,GenRA Pos Act=1 (1) AUC=0 p=1,no_data,no_data,no_data,no_data,no_data,no_data,64mg/kg/day,no_data,no_data,no_data,no_data,no_data,no_data,90mg/kg/day,no_data
"DEV:lipids, total",GenRA Pos Act=1 (1) AUC=0 p=1,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,320mg/kg/day,no_data,no_data
DEV:litter size,GenRA Neg Act=0 (0.115) AUC=0.125 p=0.7,no_data,no_data,no_data,no_effect,140mg/kg/day,no_effect,no_effect,no_data,no_effect,no_effect,no_data,no_effect,no_effect,no_effect,no_data
DEV:litter viability other,GenRA Neg Act=0 (0) AUC=0 p=1,no_data,no_data,no_data,no_effect,no_effect,no_effect,no_effect,no_data,no_effect,no_effect,no_data,no_effect,no_effect,no_effect,no_data
